Tweets,SentimentAnalysis,SentimentScore
"rt @kvvkwiatkowski: @realdonaldtrump bravo = best president since reagan.

there is also economic growth in #poland 
 
everywhere patriots…",Positive,0.312
"@realdonaldtrump bravo = best president since reagan.

there is also economic growth in #poland 
 
everywhere patri… https://t.co/5uu3j8afa7",Positive,0.327
"and, 
may i add. . .
🖕🏾 you #donaldtrump https://t.co/ogir9ngvbv",Neutral,1.0
"rt @amjoyshow: .@lawrence: donald #trump and rudy #giuliani are now in a contest for who can say the stupidest, most harmful thing about th…",Negative,0.134
rt @sandiellen: #donaldtrump https://t.co/g5mro7vyil,Neutral,1.0
‘the people love you’: donald trump appears publicly with melania trump #melaniaelevatortape #melaniamissing… https://t.co/pjocfcbuyp,Positive,0.244
"rt @canadasmajority: @artonfurniture breaking:::
#justintrudeau has been exposed for groping a reporter &amp;saying ""if i had known you were re…",Negative,0.071
i'm sorry @potus that your having to meet #canada's half-wit @justintrudeau but if the radical liberal beta-male… https://t.co/ydyvjnjqr6,Negative,0.063
#wow! #g6plus1 #macron #trump #g7charlevoix #eu #ceta #g7 #tradewar #tariffs #justintrudeau #cdnfp v @joelplouffe https://t.co/epiomgrx6t,Neutral,1.0
"@jennifermostre1 @michael_house9 @breitbartnews breaking:::
#justintrudeau has been exposed for groping a reporter… https://t.co/q2cal3c1a4",Negative,0.106
"rt @canadasmajority: @imamofpeace breaking:::
#justintrudeau has been exposed for groping a reporter &amp;saying ""if i had known you were repor…",Negative,0.071
"@artonfurniture breaking:::
#justintrudeau has been exposed for groping a reporter &amp;saying ""if i had known you were… https://t.co/mqzdyueyuk",Negative,0.08
"rt @canadasmajority: @imamofpeace breaking:::
#justintrudeau has been exposed for groping a reporter &amp;saying ""if i had known you were repor…",Negative,0.071
"@imamofpeace breaking:::
#justintrudeau has been exposed for groping a reporter &amp;saying ""if i had known you were re… https://t.co/nq5ygvzber",Negative,0.075
"trump disgusted with #justintrudeau will he pull the plug on the trip and send vice president pence in his stead, a… https://t.co/rrqjd28xqz",Negative,0.139
rt @tirade___: @justintrudeau @g7 breaking: #justintrudeau accused of groping female reporter https://t.co/5re9uesoqn,Negative,0.167
"rt @manny_ottawa: today @justintrudeau removed from cabinet kent hehr for inappropriate touching. 

we must demand that #justintrudeau step…",Negative,0.081
"rt @manny_ottawa: today @justintrudeau removed from cabinet kent hehr for inappropriate touching. 

we must demand that #justintrudeau step…",Negative,0.081
"rt @canadasmajority: @justintrudeau @g7 breaking:::
#justintrudeau has been exposed for groping a reporter &amp; saying ""if i had known you wer…",Negative,0.067
"rt @rmayani: miles morales
#spiderman https://t.co/xwuwdotzc2",Neutral,1.0
rt @cineworld: first look: head into the #spiderverse with the brand new trailer! #spiderman (and company) head to cineworld later this yea…,Neutral,1.0
rt @geekvibesnation: #spiderman fans rejoice! the new #spidermanintothespiderverse is here  https://t.co/3tztf9dktv,Positive,0.242
"rt @rmayani: miles morales
#spiderman https://t.co/xwuwdotzc2",Neutral,1.0
"rt @rmayani: miles morales
#spiderman https://t.co/xwuwdotzc2",Neutral,1.0
"rt @rmayani: miles morales
#spiderman https://t.co/xwuwdotzc2",Neutral,1.0
rt @tntla: #noticiastnt: ¡@tomholland1996 cumplió 22 años!😍😍 ¿qué le regalarías para su cumpleaños? 😱😬 #marvel #spiderman https://t.co/9fgd…,Neutral,1.0
@tilianpearson @dgdtheband #tilian #spiderman @spidermanmovie,Neutral,1.0
"rt @theultimatespin: okay, this took a while to edit, but to be fair, we've got a lot to talk about! our new episode catches up w/ #milesmo…",Positive,0.169
"rt @o___8: that trailer was so cool, i'm really excited to see this movie! #spidermanintothespiderverse #spiderverse #spiderman #spidergwen…",Positive,0.272
rt @viri_idiana: ᴵ ᶫᵒᵛᵉ ʰᶦᵐ ˢᵒ ᵐᵘᶜʰ  #spiderman #deadpool https://t.co/alph61utce,Neutral,1.0
"rt @asteroidcowboy: 東映版「スパイダーマン」放映開始40周年を記念し、米マーベルが紹介映像を公開 
＃スパイダーマン　＃スパイダーマッ　＃spiderman　＃マーベル
https://t.co/sg8hiydgaj",Neutral,1.0
"rt @rmayani: miles morales
#spiderman https://t.co/xwuwdotzc2",Neutral,1.0
rt @yoleocomicses: mirad estas vinetas de #thor y #spiderman 🤔 https://t.co/jiltimhr5r,Neutral,1.0
"rt @gabymeza8: #timotheechalamet podría ser el nuevo #harryosborn en la secuela de #spiderman, ¿les gustaría? 😱 https://t.co/lfkpb0qdx3",Negative,0.244
#gamma #markxxvi is one of my favorite armors because he’s so different than the rest on my shelf #ironman… https://t.co/f5ycbrpfqi,Positive,0.136
rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,Neutral,1.0
rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,Neutral,1.0
rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,Neutral,1.0
rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,Neutral,1.0
painted on my moms cast 😀❤️ @marvel #captainamerica #wonderwoman #flash #ironman #thor #superman #deadpool⁠ ⁠ #hulk… https://t.co/s0uqbr49f3,Neutral,1.0
rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,Neutral,1.0
rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,Neutral,1.0
rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,Neutral,1.0
rt @thenutrigurl: oneplus 6 avenger's edition #avengersinfinitywar #ironman #oneplus6 #30din30giveaway #thenutrigurl @oneplus_in @thenutrig…,Neutral,1.0
rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,Neutral,1.0
rt @rdjlock: he is a princess!!! #tonystark #ironman #disney https://t.co/m4rp79ns1d,Neutral,1.0
painted on my moms cast 😀❤️ @marvel #captainamerica #wonderwoman #flash #ironman #thor #superman #deadpool #hulk… https://t.co/gaw4rmttr4,Neutral,1.0
"rt @creaturebox: “family matters” for the @heroesonline #heroescon art auction. 12.5x19: acrylic, markers &amp; pencil. 🤡 join as at tables aa-…",Positive,0.095
rt @gedkearney: at the @auselectoralcom hearings to argue for the name change of #batman - noting that the hearing panel are 5 white middle…,Negative,0.103
rt @tonydanielx2: vrooom!  my contribution to the #batman 50 wedding issue interiors. colors by @tomeu_morey . pencils and inks me. #dccomi…,Neutral,1.0
rt @dceu_news_: @joemanganiello with #deathstroke mask. #dc #dccomics #dcuniverse #dceu #dcu #batman #releasethesnydercut  #zacksnyder #war…,Neutral,1.0
rt @dceu_news_: @joemanganiello with #deathstroke mask. #dc #dccomics #dcuniverse #dceu #dcu #batman #releasethesnydercut  #zacksnyder #war…,Neutral,1.0
rt @batcouch: @nealadamsdotcom by far one of my favorite variant covers for #batman #50 #goneilgo #thebatcouch #capedcrusader #darkknight h…,Positive,0.143
rt @tonydanielx2: vrooom!  my contribution to the #batman 50 wedding issue interiors. colors by @tomeu_morey . pencils and inks me. #dccomi…,Neutral,1.0
rt @tonydanielx2: vrooom!  my contribution to the #batman 50 wedding issue interiors. colors by @tomeu_morey . pencils and inks me. #dccomi…,Neutral,1.0
"rt @quiverrock: 🤘🔥 so this week started out with an unplanned root canal, but i've been back in the studio putting the finishing touches on…",Neutral,1.0
"rt @anygivenchunday: can we all agree leather jacket jim gordon is the best jim gordon? 

#gotham #gothamtvwriters #gothamseason5 #batman #…",Positive,0.271
rt @tonydanielx2: vrooom!  my contribution to the #batman 50 wedding issue interiors. colors by @tomeu_morey . pencils and inks me. #dccomi…,Neutral,1.0
rt @tonydanielx2: vrooom!  my contribution to the #batman 50 wedding issue interiors. colors by @tomeu_morey . pencils and inks me. #dccomi…,Neutral,1.0
rt @thealexrossart: #batman #thursdaythoughts #dccomics https://t.co/dfepj7tz4j,Neutral,1.0
rt @tonydanielx2: vrooom!  my contribution to the #batman 50 wedding issue interiors. colors by @tomeu_morey . pencils and inks me. #dccomi…,Neutral,1.0
rt @tonydanielx2: vrooom!  my contribution to the #batman 50 wedding issue interiors. colors by @tomeu_morey . pencils and inks me. #dccomi…,Neutral,1.0
rt @lsirikul: i know what you all are thinking... #howtotrainyourdragon3 #captainamerica https://t.co/fhjedjmp31,Neutral,1.0
brooklyn boy #captainamerica #marvel #diecast… https://t.co/eraxf2dcmb,Neutral,1.0
"rt @kpopgos: [can/usa] #marvel
20 cm #captainamerica doll by @capbabedoll 
form: https://t.co/u23lytnmfs
closes: 06/13 https://t.co/2xr0mpg…",Neutral,1.0
rt @youravgbellman: “divided we fall” #captainamerica: #civilwar poster (in the style of #avengers: #earthsmightiestheroes) by me. enjoy! 🙂…,Positive,0.17
"rt @thealexrossart: #thursdaythoughts #marvelocity the art of #marvel comics is coming!

the great @chipkidd -designer 
@pantheonbooks @pen…",Positive,0.215
"rt @thealexrossart: #thursdaythoughts #marvelocity the art of #marvel comics is coming!

the great @chipkidd -designer 
@pantheonbooks @pen…",Positive,0.215
rt @youravgbellman: “divided we fall” #captainamerica: #civilwar poster (in the style of #avengers: #earthsmightiestheroes) by me. enjoy! 🙂…,Positive,0.17
painted on my moms cast 😀❤️ @marvel #captainamerica #wonderwoman #flash #ironman #thor #superman #deadpool⁠ ⁠ #hulk… https://t.co/s0uqbr49f3,Neutral,1.0
rt @youravgbellman: “divided we fall” #captainamerica: #civilwar poster (in the style of #avengers: #earthsmightiestheroes) by me. enjoy! 🙂…,Positive,0.17
rt @youravgbellman: “divided we fall” #captainamerica: #civilwar poster (in the style of #avengers: #earthsmightiestheroes) by me. enjoy! 🙂…,Positive,0.17
rt @lsirikul: i know what you all are thinking... #howtotrainyourdragon3 #captainamerica https://t.co/fhjedjmp31,Neutral,1.0
rt @youravgbellman: “divided we fall” #captainamerica: #civilwar poster (in the style of #avengers: #earthsmightiestheroes) by me. enjoy! 🙂…,Positive,0.17
rt @youravgbellman: “divided we fall” #captainamerica: #civilwar poster (in the style of #avengers: #earthsmightiestheroes) by me. enjoy! 🙂…,Positive,0.17
"damn hiccup! did the cap glamup right.  
#howtotrainyourdragon #captainamerica https://t.co/cdavgwh8g8",Negative,0.249
rt @lsirikul: i know what you all are thinking... #howtotrainyourdragon3 #captainamerica https://t.co/fhjedjmp31,Neutral,1.0
